,SA2_NAME16,Longitude,Latitude,X,Y,Remoteness,IRSD,PAP,PPHD,PSCD,PEMD,PLCS,PCS,PVOD,PVTD,PI,PCOB,PD,PML
185,Southern Downs - East,152.230788,-28.22445914,1761684.457,-3322807.744,2,4,0.563636364,0.0625,0.0625,0.083333333,0.125,0.125,0.229166667,0.083333333,0.127272727,0.781578947,0.047368421,0.842424242
186,Southern Downs - West,151.8219587,-28.18024337,1723130.789,-3312348.198,2,3,0.543859649,0.083333333,0.083333333,0.104166667,0.083333333,0.104166667,0.229166667,0.125,0.315789474,0.841836735,0,0.877192982
187,Stanthorpe,151.9376157,-28.65990199,1726766.276,-3365925.869,3,2,0.644736842,0.132075472,0.245283019,0.075471698,0.075471698,0.132075472,0.283018868,0.226415094,0.184210526,0.72972973,0,0.657894737
188,Stanthorpe Region,151.7233294,-28.73938062,1705052.312,-3371616.57,3,3,0.597014925,0.25,0.289473684,0.25,0.131578947,0.197368421,0.434210526,0.276315789,0.089552239,0.963123644,0.039045553,1
189,Warwick,152.0059799,-28.2324712,1739985.259,-3320543.85,2,2,0.686915888,0.13592233,0.121359223,0.077669903,0.116504854,0.097087379,0.266990291,0.150485437,0.369158879,0.95554081,0.02388852,0.908099688
190,Central Highlands - East,149.3280566,-23.92157175,1540024.423,-2817776.767,3,2,0.668965517,0.151260504,0.226890756,0.168067227,0.134453782,0.100840336,0.31092437,0.176470588,0.537931034,0.990118577,0.035573123,1
191,Central Highlands - West,148.0169555,-24.07647185,1406980.307,-2819259.649,4,5,0.810218978,0.045045045,0.063063063,0.036036036,0.072072072,0.045045045,0.135135135,0.063063063,0.145985401,0.884375,0.01875,1
192,Emerald,148.162555,-23.53548751,1428200.072,-2761993.507,3,6,0.831119545,0.078838174,0.145228216,0.124481328,0.082987552,0.070539419,0.244813278,0.149377593,0.159392789,0.893651655,0.042322301,1
193,Berserker,150.5307734,-23.37345589,1668069.255,-2773538.791,2,1,0.674157303,0.134831461,0.146067416,0.123595506,0.078651685,0.101123596,0.292134831,0.168539326,0.370786517,1,0.04784689,0.97752809
194,Bouldercombe,150.6256281,-23.62785626,1673906.761,-2802442.425,2,4,0.444444444,0.181818182,0.181818182,0.151515152,0.090909091,0.242424242,0.333333333,0.212121212,0.296296296,0.914438503,0,0.864197531
195,Emu Park,150.7974937,-23.25889952,1696497.623,-2764660.734,2,3,0.44137931,0.114754098,0.049180328,0.016393443,0.016393443,0.049180328,0.163934426,0.049180328,0.151724138,1,0.035573123,0.813793103
196,Frenchville - Mount Archer,150.573873,-23.33041351,1673013.58,-2769434.05,2,6,0.657243816,0.140740741,0.17037037,0.125925926,0.096296296,0.125925926,0.251851852,0.185185185,0.303886926,0.817904374,0.024415056,0.930506478
197,Glenlee - Rockyview,150.4582182,-23.23160586,1662820.729,-2757159.901,2,9,0.638888889,0.137931034,0.068965517,0.086206897,0.068965517,0.051724138,0.224137931,0.120689655,0.041666667,0.766467066,0,0.763888889
198,Gracemere,150.4120135,-23.48781325,1654521.595,-2784396.823,2,4,0.699570815,0.150442478,0.185840708,0.168141593,0.123893805,0.150442478,0.362831858,0.203539823,0.360515021,1,0.077681874,0.949928469
199,Lakes Creek,150.5651118,-23.3686257,1671583.756,-2773470.137,2,2,0.574850299,0.173333333,0.133333333,0.08,0.106666667,0.16,0.333333333,0.146666667,0.479041916,0.873096447,0.030456853,0.806387226
200,Mount Morgan,150.39471,-23.72083335,1649464.852,-2809490.826,2,1,0.8,0.2,0.1,0.05,0.05,0.1,0.25,0.1,0.618181818,1,0.095238095,0.727272727
201,Norman Gardens,150.5538977,-23.30201499,1671417.811,-2766081.951,2,5,0.705084746,0.157534247,0.143835616,0.102739726,0.109589041,0.130136986,0.328767123,0.143835616,0.338983051,0.994134897,0.064516129,0.870056497
202,Park Avenue,150.5119351,-23.35769615,1666405.644,-2771576.137,2,2,0.640522876,0.1875,0.1875,0.109375,0.15625,0.171875,0.375,0.1875,0.300653595,0.909090909,0.125,0.793028322
203,Parkhurst - Kawana,150.5051054,-23.31395815,1666348.275,-2766732.022,2,3,0.706422018,0.14159292,0.185840708,0.123893805,0.150442478,0.212389381,0.371681416,0.274336283,0.23853211,1,0.079681275,0.877675841
204,Rockhampton - West,150.4709585,-23.39785836,1661718.585,-2775398.373,2,3,0.705882353,0.128571429,0.142857143,0.085714286,0.142857143,0.085714286,0.285714286,0.171428571,0.294117647,0.717821782,0.079207921,0.803921569
205,Rockhampton City,150.5379288,-23.41652269,1668167.639,-2778313.974,2,1,0.461538462,0.321428571,0.392857143,0.25,0.25,0.214285714,0.535714286,0.357142857,0.153846154,0.739130435,0,0.555555556
206,Rockhampton Region - East,150.7056121,-23.36622789,1685713.213,-2775086.308,2,5,0.530120482,0.044444444,0.066666667,0.044444444,0.044444444,0.022222222,0.111111111,0.066666667,0.120481928,1,0.102389078,1
207,Rockhampton Region - North,150.0188742,-22.79623662,1624745.892,-2704066.743,2,5,0.552380952,0.159090909,0.113636364,0,0.022727273,0.090909091,0.295454545,0.090909091,0.057142857,0.712707182,0,0.819047619
208,Rockhampton Region - West,150.0497101,-23.35382025,1620068.992,-2765110.888,2,6,0.632911392,0.027027027,0.054054054,0.054054054,0.027027027,0.027027027,0.162162162,0.027027027,0.202531646,0.920577617,0.151624549,0.911392405
209,Shoalwater Bay,150.4597116,-22.62839299,1671610.895,-2691589.048,3,6,0.552380952,0.159090909,0.113636364,0,0.022727273,0.090909091,0.295454545,0.090909091,0.057142857,0.712707182,0,0.819047619
210,The Range - Allenstown,150.4993614,-23.39281863,1664639.949,-2775226.557,2,5,0.462427746,0.202247191,0.134831461,0.146067416,0.123595506,0.06741573,0.314606742,0.168539326,0.265895954,0.874794069,0.029654036,0.820809249
211,Yeppoon,150.7374876,-23.15479929,1691988.764,-2752539.502,2,5,0.808695652,0.126696833,0.085972851,0.07239819,0.049773756,0.067873303,0.253393665,0.090497738,0.173913043,0.926662523,0.055935364,0.920289855
212,Banana,149.9409976,-24.93315967,1587266.327,-2935344.408,3,5,0.593984962,0.077586207,0.034482759,0.034482759,0.060344828,0.051724138,0.129310345,0.060344828,0.165413534,0.899350649,0,1
213,Biloela,150.5164736,-24.39807248,1651921.83,-2884651.106,3,5,0.855813953,0.111111111,0.100529101,0.084656085,0.084656085,0.100529101,0.238095238,0.105820106,0.130232558,0.78968254,0.031746032,0.902325581
214,Agnes Water - Miriam Vale,151.7049091,-24.39456341,1770078.317,-2900450.851,3,2,0.5,0.161764706,0.132352941,0.117647059,0.176470588,0.161764706,0.294117647,0.176470588,0.058823529,0.78125,0,0.818627451
215,Boyne Island - Tannum Sands,151.3608029,-23.9735851,1742247.523,-2849973.843,2,6,0.681818182,0.104938272,0.117283951,0.098765432,0.074074074,0.117283951,0.234567901,0.154320988,0.130681818,0.790996785,0.028938907,0.924242424
216,Callemondah,151.2065902,-23.83972943,1728870.567,-2833316.088,2,6,0.80808131,0.115290076,0.109226527,0.121582689,0.104083742,0.08838026,0.259463104,0.147583914,0.161617418,0.962017014,0.025305688,0.907397857
217,Clinton - New Auckland,151.2231683,-23.88713538,1729816.186,-2838689.997,2,5,0.794466403,0.109704641,0.126582278,0.147679325,0.139240506,0.101265823,0.286919831,0.168776371,0.150197628,0.979318055,0.06372275,0.984189723
218,Gladstone,151.2611382,-23.85194269,1734133.715,-2835393.36,2,2,1,0.110503282,0.105032823,0.110503282,0.101750547,0.089715536,0.246170678,0.13785558,0.19858156,1,0,0.822695035
219,Gladstone Hinterland,151.0739154,-24.0574536,1712391.174,-2855133.174,2,5,0.712195122,0.074285714,0.057142857,0.08,0.045714286,0.051428571,0.171428571,0.08,0.156097561,0.86875,0.0375,0.996747967
220,Kin Kora - Sun Valley,151.2507011,-23.87640976,1732724.898,-2837905.105,2,5,0.836363636,0.137254902,0.117647059,0.117647059,0.137254902,0.078431373,0.254901961,0.137254902,0.054545455,0.892950392,0.093994778,0.975757576
